,Date,USD
780,2022-11-20, 201.914
781,2022-11-21, 201.845
782,2022-11-22, 201.815
783,2022-11-23, 201.779
784,2022-11-24, 201.812
785,2022-11-25, 201.782
786,2022-11-26, 201.695
787,2022-11-27, 201.586
788,2022-11-28, 201.659
789,2022-11-29, 201.636
790,2022-11-30, 201.686
791,2022-12-01, 201.712
792,2022-12-02, 201.681
793,2022-12-03, 201.828
794,2022-12-04, 201.823
795,2022-12-05, 201.737
796,2022-12-06, 201.833
797,2022-12-07, 201.916
798,2022-12-08, 202.031
799,2022-12-09, 201.932
800,2022-12-10, 201.959
801,2022-12-11, 201.948
802,2022-12-12, 201.910
803,2022-12-13, 201.840
804,2022-12-14, 201.940
805,2022-12-15, 201.933
806,2022-12-16, 202.078
807,2022-12-17, 202.068
808,2022-12-18, 201.883
809,2022-12-19, 201.831
810,2022-12-20, 201.860
811,2022-12-21, 201.881
812,2022-12-22, 201.901
813,2022-12-23, 201.968
814,2022-12-24, 201.976
815,2022-12-25, 202.005
816,2022-12-26, 202.035
817,2022-12-27, 202.201
818,2022-12-28, 202.211
819,2022-12-29, 202.176
820,2022-12-30, 202.152
821,2022-12-31, 202.058
822,2023-01-01, 202.007
823,2023-01-02, 202.100
824,2023-01-03, 202.451
825,2023-01-04, 202.434
826,2023-01-05, 202.376
827,2023-01-06, 202.501
828,2023-01-07, 202.483
829,2023-01-08, 202.534
830,2023-01-09, 202.452
831,2023-01-10, 202.359
832,2023-01-11, 202.369
833,2023-01-12, 202.354
834,2023-01-13, 202.268
835,2023-01-14, 202.386
836,2023-01-15, 202.428
837,2023-01-16, 202.615
838,2023-01-17, 202.730
839,2023-01-18, 202.795
840,2023-01-19, 202.829
841,2023-01-20, 202.858
842,2023-01-21, 202.937
843,2023-01-22, 202.932
844,2023-01-23, 203.014
845,2023-01-24, 203.032
846,2023-01-25, 203.056
847,2023-01-26, 203.055
848,2023-01-27, 203.136
849,2023-01-28, 203.111
850,2023-01-29, 203.125
851,2023-01-30, 203.314
852,2023-01-31, 203.281
853,2023-02-01, 203.475
854,2023-02-02, 203.555
855,2023-02-03, 203.535
856,2023-02-04, 203.453
857,2023-02-05, 203.444
858,2023-02-06, 203.499
859,2023-02-07, 203.649
860,2023-02-08, 203.730
861,2023-02-09, 203.702
862,2023-02-10, 203.628
863,2023-02-11, 203.580
864,2023-02-12, 203.474
865,2023-02-13, 203.518
866,2023-02-14, 203.694
867,2023-02-15, 203.834
868,2023-02-16, 203.916
869,2023-02-17, 203.855
870,2023-02-18, 203.974
871,2023-02-19, 204.033
872,2023-02-20, 204.161
873,2023-02-21, 204.288
874,2023-02-22, 204.349
875,2023-02-23, 204.327
876,2023-02-24, 204.404
877,2023-02-25, 204.309
878,2023-02-26, 204.230
879,2023-02-27, 204.286
880,2023-02-28, 204.653
881,2023-03-01, 204.680
882,2023-03-02, 204.932
883,2023-03-03, 205.268
884,2023-03-04, 205.448
885,2023-03-05, 205.439
886,2023-03-06, 205.618
887,2023-03-07, 205.626
888,2023-03-08, 205.690
889,2023-03-09, 205.865
890,2023-03-10, 205.667
891,2023-03-11, 205.641
892,2023-03-12, 205.808
893,2023-03-13, 205.693
894,2023-03-14, 205.618
895,2023-03-15, 205.585
896,2023-03-16, 205.722
897,2023-03-17, 205.731
898,2023-03-18, 205.852
899,2023-03-19, 206.200
900,2023-03-20, 206.413
901,2023-03-21, 206.619
902,2023-03-22, 206.743
903,2023-03-23, 207.192
904,2023-03-24, 207.166
905,2023-03-25, 207.103
906,2023-03-26, 206.570
907,2023-03-27, 206.410
908,2023-03-28, 206.461
909,2023-03-29, 206.681
910,2023-03-30, 206.957
911,2023-03-31, 206.959
912,2023-04-01, 207.391
913,2023-04-02, 207.354
914,2023-04-03, 207.270
915,2023-04-04, 207.483
916,2023-04-05, 207.598
917,2023-04-06, 207.491
918,2023-04-07, 207.228
919,2023-04-08, 207.492
920,2023-04-09, 207.526
921,2023-04-10, 207.474
922,2023-04-11, 207.574
923,2023-04-12, 207.690
924,2023-04-13, 207.789
925,2023-04-14, 207.726
926,2023-04-15, 207.896
927,2023-04-16, 208.207
928,2023-04-17, 208.105
929,2023-04-18, 208.141
930,2023-04-19, 208.204
931,2023-04-20, 208.345
932,2023-04-21, 208.542
933,2023-04-22, 208.442
934,2023-04-23, 208.170
935,2023-04-24, 208.375
936,2023-04-25, 208.542
937,2023-04-26, 208.548
938,2023-04-27, 208.489
939,2023-04-28, 208.446
940,2023-04-29, 208.132
941,2023-04-30, 207.825
942,2023-05-01, 208.160
943,2023-05-02, 208.171
944,2023-05-03, 208.061
945,2023-05-04, 208.203
946,2023-05-05, 208.247
947,2023-05-06, 208.404
948,2023-05-07, 208.432
949,2023-05-08, 208.327
950,2023-05-09, 208.467
951,2023-05-10, 208.515
952,2023-05-11, 208.725
953,2023-05-12, 208.558
954,2023-05-13, 208.605
955,2023-05-14, 208.676
956,2023-05-15, 208.880
957,2023-05-16, 208.985
958,2023-05-17, 209.045
959,2023-05-18, 209.088
960,2023-05-19, 209.053
961,2023-05-20, 208.840
962,2023-05-21, 208.832
963,2023-05-22, 209.029
964,2023-05-23, 209.168
965,2023-05-24, 209.184
966,2023-05-25, 209.111
967,2023-05-26, 208.905
968,2023-05-27, 208.996
969,2023-05-28, 208.989
970,2023-05-29, 209.026
971,2023-05-30, 208.999
972,2023-05-31, 209.013
973,2023-06-01, 208.961
974,2023-06-02, 208.819
975,2023-06-03, 208.754
976,2023-06-04, 208.852
977,2023-06-05, 208.964
978,2023-06-06, 208.970
979,2023-06-07, 209.088
980,2023-06-08, 209.154
981,2023-06-09, 209.170
982,2023-06-10, 209.232
983,2023-06-11, 209.393
984,2023-06-12, 209.468
985,2023-06-13, 209.538
986,2023-06-14, 209.670
987,2023-06-15, 209.821
988,2023-06-16, 209.927
989,2023-06-17, 209.972
990,2023-06-18, 209.926
991,2023-06-19, 209.962
992,2023-06-20, 209.976
993,2023-06-21, 210.038
994,2023-06-22, 209.891
995,2023-06-23, 209.726
996,2023-06-24, 209.672
997,2023-06-25, 209.632
998,2023-06-26, 209.671
999,2023-06-27, 209.768
1000,2023-06-28, 209.816
1001,2023-06-29, 209.754
1002,2023-06-30, 209.753
1003,2023-07-01, 209.730
1004,2023-07-02, 209.437
1005,2023-07-03, 209.273
1006,2023-07-04, 209.263
1007,2023-07-05, 209.313
1008,2023-07-06, 209.304
1009,2023-07-07, 209.408
1010,2023-07-08, 209.467
1011,2023-07-09, 209.552
1012,2023-07-10, 209.662
1013,2023-07-11, 209.691
