Fund Name,3Yr,5Yr,10Yr,15Yr,20Yr
IDFC Nifty Fund - Direct Plan,5.39,7.89,0.0,0.0,0.0
IDFC Nifty Fund - Regular Plan,5.24,7.75,9.29,0.0,0.0
IDFC Sensex ETF,6.18,0.0,0.0,0.0,0.0
Indiabulls Bluechip Fund,0.79,4.55,0.0,0.0,0.0
Indiabulls Bluechip Fund - Direct Plan,2.28,6.21,0.0,0.0,0.0
Indiabulls Nifty 50 Exchange Traded Fund - Regular Plan,0.0,0.0,0.0,0.0,0.0
Invesco India Largecap Fund,4.82,6.65,9.81,0.0,0.0
Invesco India Largecap Fund - Direct Plan,6.27,8.31,0.0,0.0,0.0
Invesco India Nifty Exchange Traded Fund,5.1,7.81,0.0,0.0,0.0
JM Core 11 Fund,-4.97,1.96,8.16,0.0,0.0
JM Core 11 Fund - Direct Plan,-3.41,3.56,0.0,0.0,0.0
JM Large Cap Fund,5.4,6.06,8.11,7.0,10.42
JM Large Cap Fund - Direct Plan,6.46,7.2,0.0,0.0,0.0
Kotak Bluechip Fund - Direct Plan,7.28,8.48,0.0,0.0,0.0
Kotak Bluechip Fund - Regular Plan,6.11,7.19,9.92,10.28,15.37
Kotak Nifty ETF Fund,5.04,7.65,9.12,0.0,0.0
Kotak NV 20 ETF,8.49,0.0,0.0,0.0,0.0
Kotak Sensex ETF Fund,5.99,8.66,9.72,0.0,0.0
LIC MF Exchange Traded Fund - Nifty 100,4.43,0.0,0.0,0.0,0.0
LIC MF Exchange Traded Fund - Nifty 50,5.25,0.0,0.0,0.0,0.0
LIC MF Exchange Traded Fund - Sensex,6.24,0.0,0.0,0.0,0.0
LIC MF Index-Nifty Plan,4.19,6.58,8.13,8.13,0.0
LIC MF Index-Nifty Plan - Direct Plan,4.66,7.1,0.0,0.0,0.0
LIC MF Index-Sensex Plan,5.27,7.65,8.49,8.36,0.0
LIC MF Index-Sensex Plan - Direct Plan,5.71,8.14,0.0,0.0,0.0
LIC MF Large Cap Fund,3.52,5.63,8.39,8.36,11.75
LIC MF Large Cap Fund - Direct Plan,4.55,6.75,0.0,0.0,0.0
L&T India Large Cap Fund,4.19,5.95,8.98,0.0,0.0
L&T India Large Cap Fund - Direct Plan,5.07,6.84,0.0,0.0,0.0
L&T Nifty 50 Index Fund - Direct Plan,0.0,0.0,0.0,0.0,0.0
L&T Nifty 50 Index Fund - Regular Plan,0.0,0.0,0.0,0.0,0.0
L&T Nifty Next 50 Index Fund - Direct Plan,0.0,0.0,0.0,0.0,0.0
L&T Nifty Next 50 Index Fund - Regular Plan,0.0,0.0,0.0,0.0,0.0
Mahindra Manulife Large Cap Pragati Yojana - Direct Plan,0.0,0.0,0.0,0.0,0.0
Mahindra Manulife Large Cap Pragati Yojana - Regular Plan,0.0,0.0,0.0,0.0,0.0
Mirae Asset Equity Allocator Fund of Fund - Direct Plan,0.0,0.0,0.0,0.0,0.0
Mirae Asset Equity Allocator Fund of Fund - Regular Plan,0.0,0.0,0.0,0.0,0.0
Mirae Asset Large Cap Fund - Direct Plan,7.04,9.94,0.0,0.0,0.0
Mirae Asset Large Cap Fund - Regular Plan,5.94,8.88,13.16,0.0,0.0
Mirae Asset Nifty 50 ETF - Regular Plan,0.0,0.0,0.0,0.0,0.0
Mirae Asset Nifty Next 50 ETF - Regular Plan,0.0,0.0,0.0,0.0,0.0
Motilal Oswal Focused 25 Fund - Direct Plan,6.63,8.66,0.0,0.0,0.0
Motilal Oswal Focused 25 Fund - Regular Plan,5.33,7.26,0.0,0.0,0.0
Motilal Oswal M50 ETF Fund,4.92,7.27,8.47,0.0,0.0
Motilal Oswal Nifty 50 Index Fund - Direct Plan,0.0,0.0,0.0,0.0,0.0
Motilal Oswal Nifty 50 Index Fund - Regular Plan,0.0,0.0,0.0,0.0,0.0
Motilal Oswal Nifty Next 50 Index Fund - Direct Plan,0.0,0.0,0.0,0.0,0.0
Motilal Oswal Nifty Next 50 Index Fund - Regular Plan,0.0,0.0,0.0,0.0,0.0
Nippon India ETF Junior BeES,1.05,4.78,10.51,11.47,0.0
Nippon India ETF Nifty 100,3.57,6.41,0.0,0.0,0.0
Nippon India ETF Nifty BeES,5.19,7.83,9.41,9.8,0.0
Nippon India ETF NV20,9.26,11.54,0.0,0.0,0.0
Nippon India ETF Sensex,6.21,8.89,0.0,0.0,0.0
Nippon India ETF Sensex Next 50 - Regular Plan,0.0,0.0,0.0,0.0,0.0
Nippon India ETF Shariah BeES,12.27,11.37,10.91,0.0,0.0
Nippon India Index Fund - Nifty Plan,4.0,6.6,0.0,0.0,0.0
Nippon India Index Fund - Nifty Plan - Direct Plan,4.89,7.45,0.0,0.0,0.0
Nippon India Index Fund - Sensex Plan,5.38,7.89,0.0,0.0,0.0
Nippon India Index Fund - Sensex Plan - Direct Plan,6.0,8.57,0.0,0.0,0.0
Nippon India Junior BeES FoF - Direct Plan,0.0,0.0,0.0,0.0,0.0
Nippon India Junior BeES FoF - Regular Plan,0.0,0.0,0.0,0.0,0.0
Nippon India Large Cap Fund,-2.22,2.94,8.95,0.0,0.0
Nippon India Large Cap Fund - Direct Plan,-1.34,3.98,0.0,0.0,0.0
PGIM India Large Cap Fund,4.01,5.72,9.05,9.46,0.0
PGIM India Large Cap Fund - Direct Plan,5.41,7.26,0.0,0.0,0.0
Principal Large Cap Fund - Direct Plan,0.0,0.0,0.0,0.0,0.0
Principal Large Cap Fund - Regular Plan,0.0,0.0,0.0,0.0,0.0
Principal Nifty 100 Equal Weight Fund,0.48,2.93,6.0,6.98,10.06
Principal Nifty 100 Equal Weight Fund - Direct Plan,0.71,3.27,0.0,0.0,0.0
Quant Focused Fund,5.47,6.83,12.99,0.0,0.0
Quant Focused Fund - Direct Plan,6.69,7.74,0.0,0.0,0.0
Quantum Nifty ETF,5.07,7.73,9.35,0.0,0.0
SBI Bluechip Fund,2.93,5.12,10.55,0.0,0.0
SBI Bluechip Fund - Direct Plan,3.75,6.1,0.0,0.0,0.0
SBI ETF BSE 100 Fund,4.61,7.4,0.0,0.0,0.0
SBI ETF Nifty 50,5.15,7.86,0.0,0.0,0.0
SBI ETF Nifty Next 50 Fund,1.01,4.88,0.0,0.0,0.0
SBI ETF Quality - Regular Plan,0.0,0.0,0.0,0.0,0.0
SBI ETF Sensex,6.23,8.9,0.0,0.0,0.0
SBI ETF Sensex Next 50 - Regular Plan,0.0,0.0,0.0,0.0,0.0
SBI Nifty Index Fund,4.2,6.89,8.34,8.53,0.0
SBI Nifty Index Fund - Direct Plan,4.63,7.35,0.0,0.0,0.0
Sundaram Bluechip Fund - Direct Plan,0.0,0.0,0.0,0.0,0.0
Sundaram Bluechip Fund - Regular Plan,0.0,0.0,0.0,0.0,0.0
Sundaram Select Focus Fund - Direct Plan,5.4,8.64,0.0,0.0,0.0
Sundaram Select Focus Fund - Regular Plan,4.4,7.56,8.93,8.96,0.0
Sundaram Smart NIFTY 100 Equal Weight Fund - Direct Plan,0.41,0.0,0.0,0.0,0.0
Sundaram Smart NIFTY 100 Equal Weight Fund - Regular Plan,-0.19,0.0,0.0,0.0,0.0
Tata Index Nifty Fund - Direct Plan,5.01,7.6,0.0,0.0,0.0
Tata Index Nifty Fund - Regular Plan,4.5,7.1,8.49,8.74,0.0
Tata Index Sensex Fund - Direct Plan,6.17,8.72,0.0,0.0,0.0
Tata Index Sensex Fund - Regular Plan,5.51,8.13,8.9,8.87,0.0
