,Fund Name,1 Yr Ret (%)
110,Invesco India Equity Savings Fund - Regular Plan,8.43
111,Invesco India Treasury Advantage Fund,7.74
112,Invesco India Treasury Advantage Fund - Direct Plan,8.07
113,JM Low Duration Fund,17.85
114,JM Low Duration Fund - Direct Plan,17.97
115,Kotak Asset Allocator Fund - Direct Plan,18.64
116,Kotak Asset Allocator Fund Regular Plan,18.16
117,Kotak Debt Hybrid Fund - Direct Plan,12.55
118,Kotak Debt Hybrid Fund - Regular Plan,11.27
119,Kotak Equity Savings Fund - Direct Plan,9.78
120,Kotak Equity Savings Fund - Regular Plan,8.77
121,Kotak Low Duration Fund - Standard Plan,8.48
122,Kotak Low Duration Fund - Standard Plan - Direct Plan,9.3
123,LIC MF Children's Gift Fund,5.17
124,LIC MF Children's Gift Fund - Direct Plan,5.9
125,LIC MF Debt Hybrid Fund,7.23
126,LIC MF Debt Hybrid Fund - Direct Plan,8.15
127,LIC MF Savings Fund,7.58
128,LIC MF Savings Fund - Direct Plan,8.14
129,L&T Conservative Hybrid Fund,6.33
130,L&T Conservative Hybrid Fund - Direct Plan,6.88
131,L&T Equity Savings Fund,6.4
132,L&T Equity Savings Fund - Direct Plan,7.41
133,L&T Low Duration Fund,7.28
134,L&T Low Duration Fund - Direct Plan,7.86
135,Mahindra Manulife Equity Savings Dhan Sanchay Yojana - Direct Plan,11.01
136,Mahindra Manulife Equity Savings Dhan Sanchay Yojana - Regular Plan,9.24
137,Mahindra Manulife Low Duration Fund - Direct Plan,7.76
138,Mahindra Manulife Low Duration Fund - Regular Plan,6.88
139,Mirae Asset Equity Savings Fund - Direct Plan,12.3
140,Mirae Asset Equity Savings Fund - Regular Plan,11.16
141,Mirae Asset Savings Fund - Direct Plan,7.03
142,Mirae Asset Savings Fund - Regular Savings Plan,6.4
143,Nippon India Equity Savings Fund,-15.76
144,Nippon India Equity Savings Fund - Direct Plan,-15.08
145,Nippon India Hybrid Bond Fund,-11.59
146,Nippon India Hybrid Bond Fund - Direct Plan,-11.01
147,Nippon India Low Duration Fund,7.81
148,Nippon India Low Duration Fund - Direct Plan,8.46
149,Nippon India Retirement Fund - Income Generation Scheme,7.12
150,Nippon India Retirement Fund - Income Generation Scheme - Direct Plan,8.22
151,PGIM India Equity Savings Fund,4.07
152,PGIM India Equity Savings Fund - Direct Plan,5.23
153,PGIM India Low Duration Fund,9.74
154,PGIM India Low Duration Fund - Direct Plan,10.57
155,Principal Equity Savings Fund,8.49
156,Principal Equity Savings Fund - Direct Plan,9.74
157,Principal Low Duration Fund,5.57
158,Principal Low Duration Fund - Direct Plan,5.75
159,Principal Retirement Savings Fund Conservative Plan - Direct Plan,3.98
160,Principal Retirement Savings Fund Conservative Plan - Regular Plan,3.51
161,Principal Retirement Savings Fund Moderate Plan - Direct Plan,6.58
162,Principal Retirement Savings Fund Moderate Plan - Regular Plan,5.83
163,SBI Debt Hybrid Fund,8.29
164,SBI Debt Hybrid Fund - Direct Plan,8.95
165,SBI Equity Savings Fund - Direct Plan,8.47
166,SBI Equity Savings Fund - Regular Plan,7.77
167,SBI Magnum Children's Benefit Fund - Savings Plan,7.19
168,SBI Magnum Children's Benefit Fund - Savings Plan - Direct Plan,8.04
169,SBI Magnum Low Duration Fund,7.24
170,SBI Magnum Low Duration Fund - Direct Plan,7.88
171,Sundaram Debt Oriented Hybrid Fund,7.53
172,Sundaram Debt Oriented Hybrid Fund - Direct Plan,8.55
173,Sundaram Equity Savings Fund - Direct Plan,7.08
174,Sundaram Equity Savings Fund - Regular Plan,5.19
175,Sundaram Low Duration Fund - Direct Plan,7.3
176,Sundaram Low Duration Fund - Regular Plan,6.82
177,Tata Equity Savings Fund - Direct Plan,6.81
178,Tata Equity Savings Fund - Regular Plan,5.65
179,Tata Retirement Savings Fund - Conservative Plan - Direct Plan,12.15
180,Tata Retirement Savings Fund - Conservative Plan - Regular Plan,10.84
181,Tata Treasury Advantage Fund - Direct Plan,8
182,Tata Treasury Advantage Fund - Regular Plan,7.83
183,Tata Young Citizens Fund - Direct Plan,12.84
184,Tata Young Citizens Fund - Regular Plan,12.04
185,Union Equity Savings Fund - Direct Plan,8.89
186,Union Equity Savings Fund - Regular Plan,8.4
187,UTI Children's Career Fund-Savings Plan - Direct Plan,6.99
188,UTI Children's Career Fund-Savings Plan - Regular Plan,6.75
189,UTI Equity Savings Fund - Direct Plan,5.05
190,UTI Equity Savings Fund - Regular Plan,4.26
191,UTI Regular Savings Fund - Direct Plan,4.29
192,UTI Regular Savings Fund - Regular Plan,3.6
193,UTI Retirement Benefit Pension Fund - Direct Plan,7.2
194,UTI Retirement Benefit Pension Fund - Regular Plan,6.44
195,UTI Treasury Advantage Fund - Direct Plan,7.92
196,UTI Treasury Advantage Fund - Regular Plan,7.82
