Fund Name,1Yr,3Yr,5Yr,10Yr,15Yr,20Yr
HDFC Retirement Savings Fund - Hybrid Debt Plan - Direct Plan,8.44,9.15,9.36,0.0,0.0,0.0
HDFC Retirement Savings Fund - Hybrid Debt Plan - Regular Plan,7.28,0.0,0.0,0.0,0.0,0.0
HSBC Low Duration Fund,3.59,0.0,0.0,0.0,0.0,0.0
HSBC Low Duration Fund - Direct Plan,4.44,5.91,6.51,8.61,9.1,0.0
HSBC Managed Solutions India - Conservative - Direct Plan,7.92,6.1,6.77,0.0,0.0,0.0
HSBC Managed Solutions India - Conservative - Regular Plan,7.11,4.47,3.98,0.0,0.0,0.0
HSBC Regular Savings Fund,7.31,5.8,5.36,0.0,0.0,0.0
HSBC Regular Savings Fund - Direct Plan,9.29,4.49,5.48,0.0,0.0,0.0
ICICI Prudential Asset Allocator (FOF) Fund,7.57,3.64,4.68,7.36,0.0,0.0
ICICI Prudential Asset Allocator Fund (FOF) - Direct Plan,8.92,7.23,7.43,0.0,0.0,0.0
ICICI Prudential Equity Savings Fund,4.23,6.46,6.69,8.05,0.0,0.0
ICICI Prudential Equity Savings Fund - Direct Plan,4.86,5.79,6.43,0.0,0.0,0.0
ICICI Prudential Income Optimizer Fund (FOF),6.87,5.1,5.75,7.82,0.0,0.0
ICICI Prudential Income Optimizer Fund (FOF) - Direct Plan,7.55,6.82,6.24,0.0,0.0,0.0
ICICI Prudential Passive Strategy Fund (FOF),2.96,5.71,5.2,5.97,0.0,0.0
ICICI Prudential Passive Strategy Fund (FOF) - Direct Plan,3.3,7.17,7.17,0.0,0.0,0.0
ICICI Prudential Regular Savings Fund,10.21,6.24,6.25,7.93,0.0,0.0
ICICI Prudential Regular Savings Fund - Direct Plan,10.94,4.94,0.0,0.0,0.0,0.0
ICICI Prudential Retirement Fund - Hybrid Conservative Plan,8.43,3.34,0.0,0.0,0.0,0.0
ICICI Prudential Retirement Fund - Hybrid Conservative Plan - Direct Plan,10.25,0.0,0.0,0.0,0.0,0.0
ICICI Prudential Savings Fund,8.44,0.0,0.0,0.0,0.0,0.0
ICICI Prudential Savings Fund - Direct Plan,8.54,14.55,12.25,0.0,0.0,0.0
ICICI Prudential Thematic Advantage Fund (FOF),12.7,13.9,11.51,12.25,11.59,0.0
ICICI Prudential Thematic Advantage Fund (FOF) - Direct,12.53,10.26,9.41,0.0,0.0,0.0
IDBI Equity Savings Fund,6.31,9.0,8.1,8.91,8.27,0.0
IDBI Equity Savings Fund - Direct Plan,7.29,7.64,8.02,0.0,0.0,0.0
