,Fund Name,3Yr,5Yr,10Yr,15Yr,20Yr
78,IDFC Asset Allocation Fund - Conservative Plan - Direct Plan,7.23,7.43,--,--,--
79,IDFC Asset Allocation Fund - Conservative Plan - Regular Plan,6.46,6.69,8.05,--,--
80,IDFC Asset Allocation Fund - Moderate Plan - Direct Plan,5.79,6.43,--,--,--
81,IDFC Asset Allocation Fund - Moderate Plan - Regular Plan,5.1,5.75,7.82,--,--
82,IDFC Equity Savings Fund - Direct Plan,6.82,6.24,--,--,--
83,IDFC Equity Savings Fund - Regular Plan,5.71,5.2,5.97,--,--
84,IDFC Regular Savings Fund - Direct Plan,7.17,7.17,--,--,--
85,IDFC Regular Savings Fund - Regular Plan,6.24,6.25,7.93,--,--
86,Indiabulls Savings Income Fund - Direct Plan,4.94,--,--,--,--
87,Indiabulls Savings Income Fund - Regular Plan,3.34,--,--,--,--
88,Invesco India Equity Savings Fund - Direct Plan,--,--,--,--,--
89,Invesco India Equity Savings Fund - Regular Plan,--,--,--,--,--
90,Kotak Asset Allocator Fund - Direct Plan,14.55,12.25,--,--,--
91,Kotak Asset Allocator Fund Regular Plan,13.9,11.51,12.25,11.59,--
92,Kotak Debt Hybrid Fund - Direct Plan,10.26,9.41,--,--,--
93,Kotak Debt Hybrid Fund - Regular Plan,9,8.1,8.91,8.27,--
94,Kotak Equity Savings Fund - Direct Plan,7.64,8.02,--,--,--
95,Kotak Equity Savings Fund - Regular Plan,6.76,7.17,--,--,--
96,LIC MF Children's Gift Fund,3.2,3.21,5.86,4.39,--
97,LIC MF Children's Gift Fund - Direct Plan,4.07,4.15,--,--,--
98,LIC MF Debt Hybrid Fund,6.72,6.32,6.74,6.77,7.28
99,LIC MF Debt Hybrid Fund - Direct Plan,7.69,7.27,--,--,--
100,L&T Conservative Hybrid Fund,6.33,6.18,6.99,7.38,--
101,L&T Conservative Hybrid Fund - Direct Plan,6.96,6.86,--,--,--
102,L&T Equity Savings Fund,3.56,4.18,--,--,--
103,L&T Equity Savings Fund - Direct Plan,4.49,5.08,--,--,--
104,Mahindra Manulife Equity Savings Dhan Sanchay Yojana - Direct Plan,7.53,--,--,--,--
105,Mahindra Manulife Equity Savings Dhan Sanchay Yojana - Regular Plan,5.71,--,--,--,--
106,Mirae Asset Equity Savings Fund - Direct Plan,--,--,--,--,--
107,Mirae Asset Equity Savings Fund - Regular Plan,--,--,--,--,--
108,Nippon India Equity Savings Fund,-9.45,-4.4,--,--,--
109,Nippon India Equity Savings Fund - Direct Plan,-8.67,-3.44,--,--,--
110,Nippon India Equity Savings Fund - Segregated Portfolio 1 - Direct Plan,--,--,--,--,--
111,Nippon India Equity Savings Fund - Segregated Portfolio 1 - Regular Plan,--,--,--,--,--
112,Nippon India Equity Savings Fund - Segregated Portfolio 2 - Direct Plan,--,--,--,--,--
113,Nippon India Equity Savings Fund - Segregated Portfolio 2 - Regular Plan,--,--,--,--,--
114,Nippon India Hybrid Bond Fund,-5.11,-1.2,4.14,6.53,--
115,Nippon India Hybrid Bond Fund - Direct Plan,-4.39,-0.37,--,--,--
116,Nippon India Hybrid Bond Fund - Segregated Portfolio 1 - Direct Plan,--,--,--,--,--
117,Nippon India Hybrid Bond Fund - Segregated Portfolio 1 - Regular Plan,--,--,--,--,--
118,Nippon India Hybrid Bond Fund - Segregated Portfolio 2 - Direct Plan,--,--,--,--,--
119,Nippon India Hybrid Bond Fund - Segregated Portfolio 2 - Regular Plan,--,--,--,--,--
120,Nippon India Retirement Fund - Income Generation Scheme,7.29,6.74,--,--,--
121,Nippon India Retirement Fund - Income Generation Scheme - Direct Plan,8.43,8.01,--,--,--
122,PGIM India Equity Savings Fund,4.08,4.93,7.03,7.2,--
123,PGIM India Equity Savings Fund - Direct Plan,5.18,6.1,--,--,--
124,Principal Equity Savings Fund,5.94,6.11,6.44,6.7,--
125,Principal Equity Savings Fund - Direct Plan,7.22,7.32,--,--,--
126,Principal Retirement Savings Fund Conservative Plan - Direct Plan,2.79,--,--,--,--
127,Principal Retirement Savings Fund Conservative Plan - Regular Plan,2.31,--,--,--,--
128,Principal Retirement Savings Fund Moderate Plan - Direct Plan,3.78,--,--,--,--
129,Principal Retirement Savings Fund Moderate Plan - Regular Plan,3.15,--,--,--,--
130,SBI Debt Hybrid Fund,6.52,6.19,7.93,7.67,--
131,SBI Debt Hybrid Fund - Direct Plan,7.22,7,--,--,--
132,SBI Equity Savings Fund - Direct Plan,6.3,6.92,--,--,--
133,SBI Equity Savings Fund - Regular Plan,5.4,5.74,--,--,--
134,SBI Magnum Children's Benefit Fund - Savings Plan,4.7,7.31,10.35,10.08,--
135,SBI Magnum Children's Benefit Fund - Savings Plan - Direct Plan,5.6,8.26,--,--,--
136,Sundaram Debt Oriented Hybrid Fund,2.45,3.56,6.39,--,--
137,Sundaram Debt Oriented Hybrid Fund - Direct Plan,3.46,4.62,--,--,--
138,Sundaram Equity Savings Fund - Direct Plan,--,--,--,--,--
139,Sundaram Equity Savings Fund - Regular Plan,--,--,--,--,--
140,Tata Equity Savings Fund - Direct Plan,5.74,5.92,--,--,--
141,Tata Equity Savings Fund - Regular Plan,4.64,4.81,6.03,6.31,6.76
142,Tata Retirement Savings Fund - Conservative Plan - Direct Plan,8.8,9.06,--,--,--
143,Tata Retirement Savings Fund - Conservative Plan - Regular Plan,7.48,7.62,--,--,--
144,Tata Young Citizens Fund - Direct Plan,4.66,5.11,--,--,--
145,Tata Young Citizens Fund - Regular Plan,3.84,4.15,7.11,8.06,10.14
146,Union Equity Savings Fund - Direct Plan,--,--,--,--,--
147,Union Equity Savings Fund - Regular Plan,--,--,--,--,--
148,UTI Children's Career Fund-Savings Plan - Direct Plan,2.96,4.37,--,--,--
149,UTI Children's Career Fund-Savings Plan - Regular Plan,2.74,4.16,7.94,8.67,9.72
150,UTI Equity Savings Fund - Direct Plan,--,--,--,--,--
151,UTI Equity Savings Fund - Regular Plan,--,--,--,--,--
152,UTI Regular Saving Fund Segregated Portfolio - Direct Plan,--,--,--,--,--
153,UTI Regular Saving Fund Segregated Portfolio - Regular Plan,--,--,--,--,--
154,UTI Regular Savings Fund - Direct Plan,3.68,5.11,--,--,--
155,UTI Regular Savings Fund - Regular Plan,2.99,4.39,7.23,7.98,--
156,UTI Retirement Benefit Pension Fund - Direct Plan,3.08,4.58,--,--,--
157,UTI Retirement Benefit Pension Fund - Regular Plan,2.44,3.93,6.87,7.6,--
